"12bf -- Household income and expenditure by area, annually, 2000-2020",,,,,,,,
,,,,,,,,
Sector,Area,Transaction,"2015 At current prices, millions of euro","2016 At current prices, millions of euro","2017 At current prices, millions of euro","2018 At current prices, millions of euro","2019 At current prices, millions of euro","2020 At current prices, millions of euro"
S14 Households,HVA17 Ostrobothnia wellbeing services county,B5N Net national income,4049,4077,4073,4180,4270,4282
S14 Households,HVA17 Ostrobothnia wellbeing services county,"D62R Social benefits other than social transfers in kind, income",1261,1284,1296,1288,1320,1379
S14 Households,HVA17 Ostrobothnia wellbeing services county,"D7R Other current transfers, income",74,77,88,79,87,82
S14 Households,HVA17 Ostrobothnia wellbeing services county,"D5K Income, property and other direct taxes excl. capital taxes, expenditure",861,881,866,879,902,923
S14 Households,HVA17 Ostrobothnia wellbeing services county,D61K Employer's social security contributions,864,880,851,862,880,844
S14 Households,HVA17 Ostrobothnia wellbeing services county,"D7K Other current transfers, expenditure",153,146,152,149,154,151
S14 Households,HVA17 Ostrobothnia wellbeing services county,"B6N Disposable income, net",3507,3531,3589,3657,3741,3826
S14 Households,HVA18 Central Ostrobothnia wellbeing services county,"B2N Operating surplus, net",99,103,103,110,116,120
S14 Households,HVA18 Central Ostrobothnia wellbeing services county,"B3N Mixed income, net",118,118,119,123,123,127
S14 Households,HVA18 Central Ostrobothnia wellbeing services county,"D11R Wages and salaries received, income",871,883,899,937,966,963
S14 Households,HVA18 Central Ostrobothnia wellbeing services county,"D12R Employer's social security contributions, income",202,207,194,193,195,183
S14 Households,HVA18 Central Ostrobothnia wellbeing services county,"D4OMR  Property income, (incl. holding gains and losses), income",128,117,141,123,135,131
S14 Households,HVA18 Central Ostrobothnia wellbeing services county,"D4K Property income, expenditure",16,11,9,10,11,8
S14 Households,HVA18 Central Ostrobothnia wellbeing services county,B5N Net national income,1401,1418,1446,1476,1525,1515
S14 Households,HVA18 Central Ostrobothnia wellbeing services county,"D62R Social benefits other than social transfers in kind, income",494,500,502,501,512,534
S14 Households,HVA18 Central Ostrobothnia wellbeing services county,"D7R Other current transfers, income",29,29,34,31,34,31
S14 Households,HVA18 Central Ostrobothnia wellbeing services county,"D5K Income, property and other direct taxes excl. capital taxes, expenditure",309,314,317,319,325,332
S14 Households,HVA18 Central Ostrobothnia wellbeing services county,D61K Employer's social security contributions,296,305,297,302,309,296
S14 Households,HVA18 Central Ostrobothnia wellbeing services county,"D7K Other current transfers, expenditure",57,54,56,55,57,55
S14 Households,HVA18 Central Ostrobothnia wellbeing services county,"B6N Disposable income, net",1262,1274,1311,1331,1379,1397
S14 Households,HVA19 North Ostrobothnia wellbeing services county,"B2N Operating surplus, net",626,639,635,641,628,671
S14 Households,HVA19 North Ostrobothnia wellbeing services county,"B3N Mixed income, net",539,573,609,628,629,652
S14 Households,HVA19 North Ostrobothnia wellbeing services county,"D11R Wages and salaries received, income",5399,5515,5645,5937,6181,6221
S14 Households,HVA19 North Ostrobothnia wellbeing services county,"D12R Employer's social security contributions, income",1252,1291,1214,1224,1247,1183
S14 Households,HVA19 North Ostrobothnia wellbeing services county,"D4OMR  Property income, (incl. holding gains and losses), income",857,691,792,804,847,816
S14 Households,HVA19 North Ostrobothnia wellbeing services county,"D4K Property income, expenditure",69,51,43,48,49,39
S14 Households,HVA19 North Ostrobothnia wellbeing services county,B5N Net national income,8605,8659,8853,9186,9483,9504
S14 Households,HVA19 North Ostrobothnia wellbeing services county,"D62R Social benefits other than social transfers in kind, income",2952,2981,3001,3009,3075,3236
S14 Households,HVA19 North Ostrobothnia wellbeing services county,"D7R Other current transfers, income",163,162,185,169,185,175
S14 Households,HVA19 North Ostrobothnia wellbeing services county,"D5K Income, property and other direct taxes excl. capital taxes, expenditure",1904,1895,1912,1952,2008,2059
S14 Households,HVA19 North Ostrobothnia wellbeing services county,D61K Employer's social security contributions,1827,1898,1861,1910,1964,1905
S14 Households,HVA19 North Ostrobothnia wellbeing services county,"D7K Other current transfers, expenditure",312,296,308,304,315,310
S14 Households,HVA19 North Ostrobothnia wellbeing services county,"B6N Disposable income, net",7677,7714,7957,8199,8456,8640
S14 Households,HVA20 Kainuu wellbeing services county,"B2N Operating surplus, net",125,125,123,126,125,150
S14 Households,HVA20 Kainuu wellbeing services county,"B3N Mixed income, net",107,114,119,128,129,129
S14 Households,HVA20 Kainuu wellbeing services county,"D11R Wages and salaries received, income",891,910,922,959,981,972
S14 Households,HVA20 Kainuu wellbeing services county,"D12R Employer's social security contributions, income",203,210,195,194,195,182
S14 Households,HVA20 Kainuu wellbeing services county,"D4OMR  Property income, (incl. holding gains and losses), income",118,105,153,139,171,112
S14 Households,HVA20 Kainuu wellbeing services county,"D4K Property income, expenditure",11,8,7,8,8,6
S14 Households,HVA20 Kainuu wellbeing services county,B5N Net national income,1432,1456,1505,1538,1593,1539
S14 Households,HVA20 Kainuu wellbeing services county,"D62R Social benefits other than social transfers in kind, income",660,656,654,650,656,682
S14 Households,HVA20 Kainuu wellbeing services county,"D7R Other current transfers, income",31,33,38,35,37,36
S14 Households,HVA20 Kainuu wellbeing services county,"D5K Income, property and other direct taxes excl. capital taxes, expenditure",322,325,322,327,337,333
S14 Households,HVA20 Kainuu wellbeing services county,D61K Employer's social security contributions,299,311,303,307,311,297
S14 Households,HVA20 Kainuu wellbeing services county,"D7K Other current transfers, expenditure",62,58,60,59,61,61
S14 Households,HVA20 Kainuu wellbeing services county,"B6N Disposable income, net",1439,1450,1512,1531,1578,1567
S14 Households,HVA21 Lapland wellbeing services county,"B2N Operating surplus, net",324,329,326,314,287,308
S14 Households,HVA21 Lapland wellbeing services county,"B3N Mixed income, net",251,259,315,297,284,277
S14 Households,HVA21 Lapland wellbeing services county,"D11R Wages and salaries received, income",2307,2327,2374,2472,2565,2534
S14 Households,HVA21 Lapland wellbeing services county,"D12R Employer's social security contributions, income",533,543,509,508,516,480
S14 Households,HVA21 Lapland wellbeing services county,"D4OMR  Property income, (incl. holding gains and losses), income",285,266,336,316,362,288
S14 Households,HVA21 Lapland wellbeing services county,"D4K Property income, expenditure",27,20,17,19,19,15
S14 Households,HVA21 Lapland wellbeing services county,B5N Net national income,3674,3704,3843,3888,3994,3873
S14 Households,HVA21 Lapland wellbeing services county,"D62R Social benefits other than social transfers in kind, income",1529,1538,1541,1521,1545,1620
S14 Households,HVA21 Lapland wellbeing services county,"D7R Other current transfers, income",79,82,93,85,91,87
S14 Households,HVA21 Lapland wellbeing services county,"D5K Income, property and other direct taxes excl. capital taxes, expenditure",826,836,834,839,865,880
S14 Households,HVA21 Lapland wellbeing services county,D61K Employer's social security contributions,782,804,783,797,819,780
S14 Households,HVA21 Lapland wellbeing services county,"D7K Other current transfers, expenditure",145,137,143,140,145,143
S14 Households,HVA21 Lapland wellbeing services county,"B6N Disposable income, net",3529,3549,3717,3718,3801,3777
S14 Households,HVA90 City of Helsinki,"B2N Operating surplus, net",959,1009,1024,1042,1048,997
S14 Households,HVA90 City of Helsinki,"B3N Mixed income, net",904,833,954,1161,1136,1171
S14 Households,HVA90 City of Helsinki,"D11R Wages and salaries received, income",12277,12565,13048,13792,14354,14296
S14 Households,HVA90 City of Helsinki,"D12R Employer's social security contributions, income",2839,2936,2792,2836,2879,2697
S14 Households,HVA90 City of Helsinki,"D4OMR  Property income, (incl. holding gains and losses), income",2157,2009,2061,2372,2160,2398
S14 Households,HVA90 City of Helsinki,"D4K Property income, expenditure",96,66,57,65,67,56
S14 Households,HVA90 City of Helsinki,B5N Net national income,19040,19286,19822,21137,21510,21503
S14 Households,HVA90 City of Helsinki,"D62R Social benefits other than social transfers in kind, income",5021,5134,5182,5309,5430,5732
S14 Households,HVA90 City of Helsinki,"D7R Other current transfers, income",171,174,195,177,191,184
S14 Households,HVA90 City of Helsinki,"D5K Income, property and other direct taxes excl. capital taxes, expenditure",4455,4507,4686,4756,4892,5010
S14 Households,HVA90 City of Helsinki,D61K Employer's social security contributions,4101,4269,4220,4362,4507,4325
S14 Households,HVA90 City of Helsinki,"D7K Other current transfers, expenditure",370,355,367,362,374,371
S14 Households,HVA90 City of Helsinki,"B6N Disposable income, net",15307,15463,15926,17142,17358,17713
S14 Households,HVA91 Åland,"B2N Operating surplus, net",61,63,64,61,55,58
S14 Households,HVA91 Åland,"B3N Mixed income, net",58,45,55,47,62,62
S14 Households,HVA91 Åland,"D11R Wages and salaries received, income",510,516,520,534,557,542
S14 Households,HVA91 Åland,"D12R Employer's social security contributions, income",118,121,112,110,113,103
S14 Households,HVA91 Åland,"D4OMR  Property income, (incl. holding gains and losses), income",122,110,91,101,104,100
S14 Households,HVA91 Åland,"D4K Property income, expenditure",7,5,4,5,5,4
S14 Households,HVA91 Åland,B5N Net national income,862,850,839,848,886,861
S14 Households,HVA91 Åland,"D62R Social benefits other than social transfers in kind, income",221,225,231,219,226,240
S14 Households,HVA91 Åland,"D7R Other current transfers, income",12,12,14,13,14,13
S14 Households,HVA91 Åland,"D5K Income, property and other direct taxes excl. capital taxes, expenditure",173,171,170,159,176,174
S14 Households,HVA91 Åland,D61K Employer's social security contributions,171,174,168,169,176,166
S14 Households,HVA91 Åland,"D7K Other current transfers, expenditure",33,33,33,31,33,34
S14 Households,HVA91 Åland,"B6N Disposable income, net",718,708,713,720,742,741
S14 Households,SK011 Helsinki,"B2N Operating surplus, net",2466,2579,2618,2748,2871,2775
S14 Households,SK011 Helsinki,"B3N Mixed income, net",1993,2033,2003,2145,2216,2213
S14 Households,SK011 Helsinki,"D11R Wages and salaries received, income",29442,30063,31083,32643,33865,33855
S14 Households,SK011 Helsinki,"D12R Employer's social security contributions, income",6807,7025,6649,6711,6794,6395
S14 Households,SK011 Helsinki,"D4OMR  Property income, (incl. holding gains and losses), income",4338,4166,4389,4954,4558,4977
S14 Households,SK011 Helsinki,"D4K Property income, expenditure",247,172,146,165,169,140
S14 Households,SK011 Helsinki,B5N Net national income,44799,45695,46596,49036,50135,50075
S14 Households,SK011 Helsinki,"D62R Social benefits other than social transfers in kind, income",11255,11532,11713,11990,12325,13070
S14 Households,SK011 Helsinki,"D7R Other current transfers, income",489,477,546,500,542,519
S14 Households,SK011 Helsinki,"D5K Income, property and other direct taxes excl. capital taxes, expenditure",10329,10547,10832,10946,11279,11540
S14 Households,SK011 Helsinki,D61K Employer's social security contributions,9834,10221,10063,10342,10634,10248
S14 Households,SK011 Helsinki,"D7K Other current transfers, expenditure",994,947,987,977,1012,999
S14 Households,SK011 Helsinki,"B6N Disposable income, net",35386,35989,36973,39261,40078,40876
S14 Households,SK014 Raasepori,"B2N Operating surplus, net",67,67,67,75,82,97
S14 Households,SK014 Raasepori,"B3N Mixed income, net",60,63,63,60,63,68
S14 Households,SK014 Raasepori,"D11R Wages and salaries received, income",603,606,607,620,633,621
S14 Households,SK014 Raasepori,"D12R Employer's social security contributions, income",138,141,129,127,127,117
S14 Households,SK014 Raasepori,"D4OMR  Property income, (incl. holding gains and losses), income",113,96,100,109,105,101
S14 Households,SK014 Raasepori,"D4K Property income, expenditure",8,6,5,5,5,4
S14 Households,SK014 Raasepori,B5N Net national income,972,966,961,986,1005,1000
S14 Households,SK014 Raasepori,"D62R Social benefits other than social transfers in kind, income",363,364,366,366,373,390
S14 Households,SK014 Raasepori,"D7R Other current transfers, income",19,21,23,20,22,22
S14 Households,SK014 Raasepori,"D5K Income, property and other direct taxes excl. capital taxes, expenditure",237,236,235,234,238,238
S14 Households,SK014 Raasepori,D61K Employer's social security contributions,203,207,199,199,202,191
S14 Households,SK014 Raasepori,"D7K Other current transfers, expenditure",36,33,35,34,35,35
S14 Households,SK014 Raasepori,"B6N Disposable income, net",879,875,881,905,925,947
S14 Households,SK015 Porvoo,"B2N Operating surplus, net",102,105,107,110,111,107
S14 Households,SK015 Porvoo,"B3N Mixed income, net",111,91,92,95,101,99
S14 Households,SK015 Porvoo,"D11R Wages and salaries received, income",1027,1023,1043,1071,1103,1091
S14 Households,SK015 Porvoo,"D12R Employer's social security contributions, income",238,240,224,221,222,207
S14 Households,SK015 Porvoo,"D4OMR  Property income, (incl. holding gains and losses), income",119,113,138,140,139,127
S14 Households,SK015 Porvoo,"D4K Property income, expenditure",12,9,7,8,8,7
S14 Households,SK015 Porvoo,B5N Net national income,1585,1564,1596,1629,1669,1625
S14 Households,SK015 Porvoo,"D62R Social benefits other than social transfers in kind, income",433,444,449,456,467,495
S14 Households,SK015 Porvoo,"D7R Other current transfers, income",25,25,28,26,28,26
S14 Households,SK015 Porvoo,"D5K Income, property and other direct taxes excl. capital taxes, expenditure",354,350,357,355,366,366
S14 Households,SK015 Porvoo,D61K Employer's social security contributions,345,350,341,343,350,334
S14 Households,SK015 Porvoo,"D7K Other current transfers, expenditure",49,46,48,47,49,47
S14 Households,SK015 Porvoo,"B6N Disposable income, net",1295,1286,1328,1366,1400,1399
S14 Households,SK016 Loviisa,"B2N Operating surplus, net",24,24,24,29,34,45
S14 Households,SK016 Loviisa,"B3N Mixed income, net",31,34,35,32,38,36
S14 Households,SK016 Loviisa,"D11R Wages and salaries received, income",243,238,239,247,251,245
S14 Households,SK016 Loviisa,"D12R Employer's social security contributions, income",56,56,51,51,51,47
S14 Households,SK016 Loviisa,"D4OMR  Property income, (incl. holding gains and losses), income",43,38,39,44,42,44
S14 Households,SK016 Loviisa,"D4K Property income, expenditure",4,3,2,3,3,2
S14 Households,SK016 Loviisa,B5N Net national income,393,386,385,400,413,414
S14 Households,SK016 Loviisa,"D62R Social benefits other than social transfers in kind, income",150,154,154,154,156,163
S14 Households,SK016 Loviisa,"D7R Other current transfers, income",9,9,11,9,10,10
S14 Households,SK016 Loviisa,"D5K Income, property and other direct taxes excl. capital taxes, expenditure",88,87,86,86,87,88
S14 Households,SK016 Loviisa,D61K Employer's social security contributions,82,82,79,80,81,76
S14 Households,SK016 Loviisa,"D7K Other current transfers, expenditure",15,14,15,15,15,16
S14 Households,SK016 Loviisa,"B6N Disposable income, net",367,367,370,383,397,408
S14 Households,SK021 Åboland-Turunmaa,"B2N Operating surplus, net",37,38,38,42,46,51
S14 Households,SK021 Åboland-Turunmaa,"B3N Mixed income, net",42,45,46,48,45,48
S14 Households,SK021 Åboland-Turunmaa,"D11R Wages and salaries received, income",310,310,311,318,325,319
S14 Households,SK021 Åboland-Turunmaa,"D12R Employer's social security contributions, income",72,73,67,66,66,61
S14 Households,SK021 Åboland-Turunmaa,"D4OMR  Property income, (incl. holding gains and losses), income",56,50,54,58,64,57
S14 Households,SK021 Åboland-Turunmaa,"D4K Property income, expenditure",5,4,3,3,3,3
S14 Households,SK021 Åboland-Turunmaa,B5N Net national income,513,513,513,528,541,532
S14 Households,SK021 Åboland-Turunmaa,"D62R Social benefits other than social transfers in kind, income",188,193,196,194,199,207
S14 Households,SK021 Åboland-Turunmaa,"D7R Other current transfers, income",11,11,13,11,12,11
S14 Households,SK021 Åboland-Turunmaa,"D5K Income, property and other direct taxes excl. capital taxes, expenditure",116,118,118,120,122,122
S14 Households,SK021 Åboland-Turunmaa,D61K Employer's social security contributions,106,107,102,103,104,99
S14 Households,SK021 Åboland-Turunmaa,"D7K Other current transfers, expenditure",19,18,19,19,19,19
S14 Households,SK021 Åboland-Turunmaa,"B6N Disposable income, net",471,475,482,493,506,511
S14 Households,SK022 Salo,"B2N Operating surplus, net",111,114,112,114,112,111
S14 Households,SK022 Salo,"B3N Mixed income, net",109,103,100,120,113,105
S14 Households,SK022 Salo,"D11R Wages and salaries received, income",794,795,775,802,826,825
S14 Households,SK022 Salo,"D12R Employer's social security contributions, income",184,186,167,165,167,157
S14 Households,SK022 Salo,"D4OMR  Property income, (incl. holding gains and losses), income",145,146,139,124,142,132
S14 Households,SK022 Salo,"D4K Property income, expenditure",13,9,8,9,9,7
S14 Households,SK022 Salo,B5N Net national income,1329,1334,1284,1316,1351,1323
S14 Households,SK022 Salo,"D62R Social benefits other than social transfers in kind, income",508,511,518,518,523,547
S14 Households,SK022 Salo,"D7R Other current transfers, income",29,29,34,31,33,30
S14 Households,SK022 Salo,"D5K Income, property and other direct taxes excl. capital taxes, expenditure",301,307,284,284,291,293
S14 Households,SK022 Salo,D61K Employer's social security contributions,268,272,256,259,265,255
S14 Households,SK022 Salo,"D7K Other current transfers, expenditure",51,47,49,48,50,48
S14 Households,SK022 Salo,"B6N Disposable income, net",1246,1248,1247,1274,1301,1304
S14 Households,SK023 Turku,"B2N Operating surplus, net",518,538,539,533,511,496
S14 Households,SK023 Turku,"B3N Mixed income, net",392,401,404,434,424,443
S14 Households,SK023 Turku,"D11R Wages and salaries received, income",4853,4950,5095,5366,5624,5628
S14 Households,SK023 Turku,"D12R Employer's social security contributions, income",1125,1159,1096,1107,1135,1070
S14 Households,SK023 Turku,"D4OMR  Property income, (incl. holding gains and losses), income",731,737,834,866,838,805
S14 Households,SK023 Turku,"D4K Property income, expenditure",50,36,31,35,36,30
S14 Households,SK023 Turku,B5N Net national income,7570,7751,7937,8270,8496,8413
S14 Households,SK023 Turku,"D62R Social benefits other than social transfers in kind, income",2538,2571,2590,2618,2687,2823
S14 Households,SK023 Turku,"D7R Other current transfers, income",121,120,138,124,134,125
S14 Households,SK023 Turku,"D5K Income, property and other direct taxes excl. capital taxes, expenditure",1697,1738,1755,1802,1830,1853
S14 Households,SK023 Turku,D61K Employer's social security contributions,1639,1697,1672,1718,1786,1722
S14 Households,SK023 Turku,"D7K Other current transfers, expenditure",223,210,221,224,231,225
S14 Households,SK023 Turku,"B6N Disposable income, net",6670,6797,7017,7268,7470,7562
S14 Households,SK024 Vakka-Suomi,"B2N Operating surplus, net",48,50,49,53,58,73
S14 Households,SK024 Vakka-Suomi,"B3N Mixed income, net",62,63,68,67,72,73
S14 Households,SK024 Vakka-Suomi,"D11R Wages and salaries received, income",405,404,422,456,475,452
S14 Households,SK024 Vakka-Suomi,"D12R Employer's social security contributions, income",94,95,91,94,96,86
S14 Households,SK024 Vakka-Suomi,"D4OMR  Property income, (incl. holding gains and losses), income",70,67,75,66,69,65
S14 Households,SK024 Vakka-Suomi,"D4K Property income, expenditure",7,5,4,5,5,4
S14 Households,SK024 Vakka-Suomi,B5N Net national income,672,673,700,732,765,745
S14 Households,SK024 Vakka-Suomi,"D62R Social benefits other than social transfers in kind, income",249,254,254,256,263,278
S14 Households,SK024 Vakka-Suomi,"D7R Other current transfers, income",15,16,18,17,18,18
S14 Households,SK024 Vakka-Suomi,"D5K Income, property and other direct taxes excl. capital taxes, expenditure",150,151,153,154,158,156
S14 Households,SK024 Vakka-Suomi,D61K Employer's social security contributions,138,140,140,148,152,140
S14 Households,SK024 Vakka-Suomi,"D7K Other current transfers, expenditure",27,26,27,27,28,28
S14 Households,SK024 Vakka-Suomi,"B6N Disposable income, net",622,627,652,675,708,717
S14 Households,SK025 Loimaa,"B2N Operating surplus, net",51,53,53,61,69,73
S14 Households,SK025 Loimaa,"B3N Mixed income, net",64,76,78,86,94,90
S14 Households,SK025 Loimaa,"D11R Wages and salaries received, income",409,412,417,430,443,439
S14 Households,SK025 Loimaa,"D12R Employer's social security contributions, income",95,97,90,89,89,84
S14 Households,SK025 Loimaa,"D4OMR  Property income, (incl. holding gains and losses), income",81,76,76,71,75,71
S14 Households,SK025 Loimaa,"D4K Property income, expenditure",10,7,6,7,7,5
S14 Households,SK025 Loimaa,B5N Net national income,690,707,707,728,763,752
S14 Households,SK025 Loimaa,"D62R Social benefits other than social transfers in kind, income",262,263,264,267,272,284
S14 Households,SK025 Loimaa,"D7R Other current transfers, income",18,18,22,20,21,20
S14 Households,SK025 Loimaa,"D5K Income, property and other direct taxes excl. capital taxes, expenditure",149,154,151,151,156,157
S14 Households,SK025 Loimaa,D61K Employer's social security contributions,139,142,138,138,142,136
S14 Households,SK025 Loimaa,"D7K Other current transfers, expenditure",30,28,30,30,31,30
S14 Households,SK025 Loimaa,"B6N Disposable income, net",651,663,674,695,728,734
S14 Households,SK041 Rauma,"B2N Operating surplus, net",122,125,125,121,112,141
S14 Households,SK041 Rauma,"B3N Mixed income, net",96,99,116,90,108,109
S14 Households,SK041 Rauma,"D11R Wages and salaries received, income",1035,1071,1089,1124,1141,1138
S14 Households,SK041 Rauma,"D12R Employer's social security contributions, income",237,249,232,230,228,215
S14 Households,SK041 Rauma,"D4OMR  Property income, (incl. holding gains and losses), income",127,124,140,154,130,134
S14 Households,SK041 Rauma,"D4K Property income, expenditure",13,10,8,9,9,7
S14 Households,SK041 Rauma,B5N Net national income,1605,1658,1695,1711,1711,1730
S14 Households,SK041 Rauma,"D62R Social benefits other than social transfers in kind, income",560,559,558,561,574,597
S14 Households,SK041 Rauma,"D7R Other current transfers, income",31,32,37,33,36,36
S14 Households,SK041 Rauma,"D5K Income, property and other direct taxes excl. capital taxes, expenditure",349,371,367,364,372,386
S14 Households,SK041 Rauma,D61K Employer's social security contributions,346,362,353,357,361,347
S14 Households,SK041 Rauma,"D7K Other current transfers, expenditure",61,58,60,59,60,61
S14 Households,SK041 Rauma,"B6N Disposable income, net",1441,1458,1509,1525,1527,1569
S14 Households,SK043 Pori,"B2N Operating surplus, net",240,247,248,239,219,249
S14 Households,SK043 Pori,"B3N Mixed income, net",192,188,207,173,194,190
S14 Households,SK043 Pori,"D11R Wages and salaries received, income",1758,1746,1779,1848,1889,1849
S14 Households,SK043 Pori,"D12R Employer's social security contributions, income",408,409,383,381,381,352
S14 Households,SK043 Pori,"D4OMR  Property income, (incl. holding gains and losses), income",225,238,263,253,237,223
S14 Households,SK043 Pori,"D4K Property income, expenditure",21,16,13,15,15,12
S14 Households,SK043 Pori,B5N Net national income,2802,2813,2865,2878,2904,2850
S14 Households,SK043 Pori,"D62R Social benefits other than social transfers in kind, income",1134,1151,1149,1143,1167,1215
S14 Households,SK043 Pori,"D7R Other current transfers, income",61,63,70,65,71,67
S14 Households,SK043 Pori,"D5K Income, property and other direct taxes excl. capital taxes, expenditure",623,633,625,621,643,639
S14 Households,SK043 Pori,D61K Employer's social security contributions,598,605,589,597,606,572
S14 Households,SK043 Pori,"D7K Other current transfers, expenditure",118,112,116,113,117,115
S14 Households,SK043 Pori,"B6N Disposable income, net",2656,2676,2754,2754,2776,2806
S14 Households,SK044 Pohjois-Satakunta,"B2N Operating surplus, net",32,33,33,33,30,35
S14 Households,SK044 Pohjois-Satakunta,"B3N Mixed income, net",39,42,45,48,52,49
S14 Households,SK044 Pohjois-Satakunta,"D11R Wages and salaries received, income",220,217,216,222,225,223
S14 Households,SK044 Pohjois-Satakunta,"D12R Employer's social security contributions, income",49,49,45,44,44,41
S14 Households,SK044 Pohjois-Satakunta,"D4OMR  Property income, (incl. holding gains and losses), income",41,32,35,33,31,32
S14 Households,SK044 Pohjois-Satakunta,"D4K Property income, expenditure",5,4,3,3,3,2
S14 Households,SK044 Pohjois-Satakunta,B5N Net national income,377,369,372,377,379,378
S14 Households,SK044 Pohjois-Satakunta,"D62R Social benefits other than social transfers in kind, income",152,153,153,153,156,161
S14 Households,SK044 Pohjois-Satakunta,"D7R Other current transfers, income",10,11,12,11,12,11
S14 Households,SK044 Pohjois-Satakunta,"D5K Income, property and other direct taxes excl. capital taxes, expenditure",82,79,77,77,79,79
S14 Households,SK044 Pohjois-Satakunta,D61K Employer's social security contributions,72,72,69,69,70,67
S14 Households,SK044 Pohjois-Satakunta,"D7K Other current transfers, expenditure",18,17,18,17,18,18
S14 Households,SK044 Pohjois-Satakunta,"B6N Disposable income, net",367,364,373,377,381,387
S14 Households,SK051 Hämeenlinna,"B2N Operating surplus, net",187,193,193,186,171,186
S14 Households,SK051 Hämeenlinna,"B3N Mixed income, net",126,137,133,137,137,132
S14 Households,SK051 Hämeenlinna,"D11R Wages and salaries received, income",1393,1401,1415,1454,1498,1492
S14 Households,SK051 Hämeenlinna,"D12R Employer's social security contributions, income",320,326,302,297,300,282
S14 Households,SK051 Hämeenlinna,"D4OMR  Property income, (incl. holding gains and losses), income",174,165,219,184,194,165
S14 Households,SK051 Hämeenlinna,"D4K Property income, expenditure",17,12,10,11,11,9
S14 Households,SK051 Hämeenlinna,B5N Net national income,2184,2209,2251,2247,2287,2248
S14 Households,SK051 Hämeenlinna,"D62R Social benefits other than social transfers in kind, income",769,779,791,799,819,854
S14 Households,SK051 Hämeenlinna,"D7R Other current transfers, income",40,40,46,41,44,41
S14 Households,SK051 Hämeenlinna,"D5K Income, property and other direct taxes excl. capital taxes, expenditure",486,493,503,495,507,514
S14 Households,SK051 Hämeenlinna,D61K Employer's social security contributions,467,479,463,465,475,456
S14 Households,SK051 Hämeenlinna,"D7K Other current transfers, expenditure",74,69,72,71,74,72
S14 Households,SK051 Hämeenlinna,"B6N Disposable income, net",1965,1986,2049,2056,2094,2100
S14 Households,SK052 Riihimäki,"B2N Operating surplus, net",79,82,82,87,90,94
S14 Households,SK052 Riihimäki,"B3N Mixed income, net",57,58,62,55,60,57
S14 Households,SK052 Riihimäki,"D11R Wages and salaries received, income",706,708,714,738,757,749
S14 Households,SK052 Riihimäki,"D12R Employer's social security contributions, income",163,166,153,152,153,142
S14 Households,SK052 Riihimäki,"D4OMR  Property income, (incl. holding gains and losses), income",73,74,88,78,152,68
S14 Households,SK052 Riihimäki,"D4K Property income, expenditure",8,6,5,5,6,4
S14 Households,SK052 Riihimäki,B5N Net national income,1070,1082,1094,1105,1207,1105
S14 Households,SK052 Riihimäki,"D62R Social benefits other than social transfers in kind, income",340,344,346,350,356,373
S14 Households,SK052 Riihimäki,"D7R Other current transfers, income",20,20,22,20,21,20
S14 Households,SK052 Riihimäki,"D5K Income, property and other direct taxes excl. capital taxes, expenditure",231,236,232,233,261,238
S14 Households,SK052 Riihimäki,D61K Employer's social security contributions,238,243,235,237,241,229
S14 Households,SK052 Riihimäki,"D7K Other current transfers, expenditure",36,34,35,35,36,34
S14 Households,SK052 Riihimäki,"B6N Disposable income, net",924,933,961,970,1047,997
S14 Households,SK053 Forssa,"B2N Operating surplus, net",49,50,49,55,59,68
S14 Households,SK053 Forssa,"B3N Mixed income, net",50,53,55,56,58,59
S14 Households,SK053 Forssa,"D11R Wages and salaries received, income",418,421,422,433,440,436
S14 Households,SK053 Forssa,"D12R Employer's social security contributions, income",97,99,91,89,89,83
S14 Households,SK053 Forssa,"D4OMR  Property income, (incl. holding gains and losses), income",62,56,72,62,67,60
S14 Households,SK053 Forssa,"D4K Property income, expenditure",7,5,4,4,5,4
S14 Households,SK053 Forssa,B5N Net national income,670,674,685,692,708,701
S14 Households,SK053 Forssa,"D62R Social benefits other than social transfers in kind, income",278,279,281,285,290,300
S14 Households,SK053 Forssa,"D7R Other current transfers, income",16,16,19,17,18,17
S14 Households,SK053 Forssa,"D5K Income, property and other direct taxes excl. capital taxes, expenditure",148,148,149,149,151,152
S14 Households,SK053 Forssa,D61K Employer's social security contributions,142,146,140,140,141,135
S14 Households,SK053 Forssa,"D7K Other current transfers, expenditure",28,27,28,27,28,28
S14 Households,SK053 Forssa,"B6N Disposable income, net",646,649,669,677,695,703
S14 Households,SK061 Luoteis-Pirkanmaa,"B2N Operating surplus, net",33,34,33,33,31,39
S14 Households,SK061 Luoteis-Pirkanmaa,"B3N Mixed income, net",30,33,35,35,37,34
S14 Households,SK061 Luoteis-Pirkanmaa,"D11R Wages and salaries received, income",172,168,167,171,174,170
S14 Households,SK061 Luoteis-Pirkanmaa,"D12R Employer's social security contributions, income",40,39,36,35,35,32
S14 Households,SK061 Luoteis-Pirkanmaa,"D4OMR  Property income, (incl. holding gains and losses), income",36,28,30,28,29,30
S14 Households,SK061 Luoteis-Pirkanmaa,"D4K Property income, expenditure",3,2,2,2,2,2
S14 Households,SK061 Luoteis-Pirkanmaa,B5N Net national income,307,299,299,301,305,304
S14 Households,SK061 Luoteis-Pirkanmaa,"D62R Social benefits other than social transfers in kind, income",134,136,136,136,138,144
